Matrix_Size,Run,Final_Residual,Cosine_Distance
10,1,0.008423,0.018226
10,2,0.007683,0.016295
10,3,0.000150,0.000230
10,4,0.005279,0.009124
50,1,0.011114,0.028979
50,2,0.009512,0.025034
50,3,0.004368,0.012059
50,4,0.008233,0.031928
100,1,0.011504,0.057718
100,2,0.005991,0.018514
100,3,0.003723,0.011703
100,4,0.004545,0.018749
500,1,0.000181,0.001595
500,2,0.000272,0.001413
500,3,0.000812,0.004121
500,4,0.002420,0.033679
1000,1,0.000530,0.009286
1000,2,0.004888,0.071430
1000,3,0.000997,0.005613
1000,4,0.000656,0.005756
